Tools,Port 10: NDI 080051  s/n:3A997400 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471032,1,OK,0.619254,-0.7445486,-0.249343,0,9.251,-45.562,-83.239,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471040,1,OK,0.6208146,-0.7440602,-0.2469081,0,9.499,-45.576,-83.588,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471048,1,OK,0.622784,-0.7440037,-0.2420715,0,9.698,-45.587,-83.927,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471056,1,OK,0.6253201,-0.7438417,-0.235954,0,9.871,-45.603,-84.454,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471064,1,OK,0.6282856,-0.7435262,-0.2289674,0,10.014,-45.582,-85.117,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471072,1,OK,0.6312398,-0.7431103,-0.2220885,0,10.139,-45.61,-85.789,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471080,1,OK,0.634384,-0.7428555,-0.2138287,0,10.175,-45.688,-86.421,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471088,1,OK,0.6372469,-0.7430569,-0.2044085,0,10.094,-45.675,-87.083,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471096,1,OK,0.6392651,-0.7438353,-0.195062,0,9.934,-45.502,-87.265,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471104,1,OK,0.6385598,-0.7445139,-0.1947832,0,9.68,-45.681,-88.337,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471112,1,OK,0.6387886,-0.7452116,-0.191334,0,9.378,-45.735,-88.759,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471120,1,OK,0.638717,-0.7464511,-0.1866851,0,8.766,-45.629,-89.007,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471128,1,OK,0.6382698,-0.7478786,-0.1824533,0,7.936,-45.506,-89.74,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471136,1,OK,0.6360476,-0.7482495,-0.18859,0,7.058,-45.719,-90.714,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471144,1,OK,0.6345604,-0.7491933,-0.1898484,0,6.201,-45.708,-91.442,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471152,1,OK,0.6343768,-0.7497856,-0.188116,0,5.538,-45.587,-91.593,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471160,1,OK,0.6340854,-0.7507723,-0.1851396,0,4.792,-45.406,-91.851,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471168,1,OK,0.6336024,-0.7513997,-0.1842458,0,4.242,-45.405,-92.236,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471176,1,OK,0.6329799,-0.7521233,-0.1834311,0,3.73,-45.394,-92.444,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471184,1,OK,0.6317856,-0.7529216,-0.1842715,0,3.023,-45.395,-92.749,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471192,1,OK,0.630696,-0.7539535,-0.1837843,0,2.083,-45.376,-92.781,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471200,1,OK,0.6285104,-0.7547832,-0.1878221,0,0.663,-45.465,-93.015,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471208,1,OK,0.6263808,-0.756794,-0.1868421,0,-1.082,-45.316,-93.019,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471216,1,OK,0.6243584,-0.7588261,-0.1853632,0,-2.558,-45.278,-92.959,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471224,1,OK,0.6225692,-0.7606108,-0.1840621,0,-3.937,-45.275,-92.602,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471232,1,OK,0.620913,-0.7624241,-0.1821444,0,-5.25,-45.261,-92.199,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471240,1,OK,0.6195453,-0.7641862,-0.1793964,0,-6.481,-45.289,-91.709,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471248,1,OK,0.6185662,-0.7660149,-0.1749198,0,-7.678,-45.256,-91.165,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471256,1,OK,0.6170145,-0.7677892,-0.172606,0,-8.837,-45.288,-90.827,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471264,1,OK,0.6159731,-0.7693712,-0.1692487,0,-9.925,-45.277,-90.501,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471272,1,OK,0.615713,-0.7699502,-0.1675536,0,-10.981,-45.317,-90.19,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471280,1,OK,0.6155469,-0.7708654,-0.1639163,0,-11.89,-45.313,-89.97,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471288,1,OK,0.6162471,-0.7714281,-0.1585504,0,-12.658,-45.31,-89.586,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471296,1,OK,0.6174835,-0.7714737,-0.1534359,0,-13.388,-45.293,-89.132,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471304,1,OK,0.6176255,-0.7718,-0.151207,0,-14.123,-45.314,-88.866,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471312,1,OK,0.6167803,-0.7730195,-0.1484011,0,-14.839,-45.312,-88.555,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471320,1,OK,0.6162034,-0.7740887,-0.1451894,0,-15.627,-45.321,-88.271,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471328,1,OK,0.6150471,-0.7752047,-0.1441347,0,-16.458,-45.354,-87.873,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471336,1,OK,0.6127578,-0.776831,-0.1451254,0,-17.079,-45.316,-87.738,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471344,1,OK,0.6105596,-0.7783227,-0.1463926,0,-17.518,-45.33,-87.487,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471352,1,OK,0.6097335,-0.7793426,-0.1443959,0,-18.028,-45.31,-87.156,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471360,1,OK,0.6088284,-0.780196,-0.1436044,0,-18.361,-45.328,-86.94,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471368,1,OK,0.6072531,-0.7812834,-0.1443607,0,-18.563,-45.339,-86.786,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471376,1,OK,0.6060382,-0.7822901,-0.1440136,0,-18.673,-45.352,-86.636,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471384,1,OK,0.6050577,-0.7835353,-0.1413419,0,-18.767,-45.342,-86.455,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471392,1,OK,0.6045319,-0.7839566,-0.141256,0,-18.813,-45.323,-86.348,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471400,1,OK,0.6042393,-0.7838197,-0.1432533,0,-18.788,-45.371,-86.061,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471408,1,OK,0.6032948,-0.7842897,-0.1446552,0,-18.751,-45.345,-85.656,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471416,1,OK,0.6018295,-0.7842662,-0.1507572,0,-18.565,-45.32,-85.459,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471424,1,OK,0.6003518,-0.7846372,-0.1546682,0,-18.11,-45.257,-84.61,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471432,1,OK,0.5985952,-0.7846574,-0.1612344,0,-17.551,-45.374,-83.797,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471440,1,OK,0.5989692,-0.7845275,-0.1604761,0,-17.091,-45.335,-83.16,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471448,1,OK,0.5997619,-0.782954,-0.1651321,0,-16.394,-45.441,-82.446,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471456,1,OK,0.6002125,-0.7818253,-0.1688021,0,-15.814,-45.436,-82.232,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,471464,1,OK,0.6021698,-0.7808241,-0.166449,0,-14.943,-45.483,-81.566,0,0
