Tools,Port 10: NDI 080051  s/n:3A997400 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344464,1,OK,0.9973617,-0.0648098,-0.0327016,0,-8.824,25.245,-70.102,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344472,1,OK,0.9972199,-0.0664781,-0.0336632,0,-7.999,27.043,-70.07,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344480,1,OK,0.9971416,-0.0667682,-0.0353654,0,-6.856,28.95,-70.003,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344488,1,OK,0.9970113,-0.0687859,-0.035172,0,-5.588,30.607,-69.962,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344496,1,OK,0.9969645,-0.0697604,-0.0345721,0,-4.073,32.42,-69.828,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344504,1,OK,0.9967997,-0.0707253,-0.0372588,0,-2.694,33.947,-69.809,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344512,1,OK,0.9966949,-0.0727414,-0.0361646,0,-1.501,35.207,-69.758,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344520,1,OK,0.9964853,-0.0741625,-0.0389471,0,0.113,36.218,-69.889,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344528,1,OK,0.9965061,-0.0762473,-0.0340881,0,1.854,37.269,-69.615,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344536,1,OK,0.9964757,-0.076041,-0.0354124,0,4.101,38.412,-69.508,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344544,1,OK,0.9964319,-0.0760787,-0.0365437,0,6.184,39.334,-69.318,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344552,1,OK,0.9961565,-0.079912,-0.0358652,0,8.396,39.835,-69.464,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344560,1,OK,0.9961936,-0.07798,-0.0389554,0,10.867,40.456,-69.429,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344568,1,OK,0.9962529,-0.0756486,-0.0419221,0,12.915,40.826,-69.276,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344576,1,OK,0.996365,-0.0741979,-0.0418513,0,14.844,41.034,-69.14,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344584,1,OK,0.9963544,-0.073768,-0.0428517,0,16.915,41.145,-69.125,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344592,1,OK,0.9963847,-0.073562,-0.0424982,0,18.645,40.951,-69.022,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344600,1,OK,0.9964564,-0.0724987,-0.042645,0,20.091,40.527,-68.965,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344608,1,OK,0.9964777,-0.0716651,-0.0435474,0,21.448,39.902,-68.869,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344616,1,OK,0.9963406,-0.0709183,-0.0477079,0,22.598,39.315,-68.89,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344624,1,OK,0.9963282,-0.069898,-0.0494406,0,23.392,38.329,-68.868,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344632,1,OK,0.9969117,-0.0647664,-0.044411,0,23.946,37.328,-68.573,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344640,1,OK,0.9965611,-0.070753,-0.043127,0,24.66,35.56,-68.951,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344648,1,OK,0.9966247,-0.069605,-0.043525,0,25.207,34.079,-68.969,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344656,1,OK,0.9968308,-0.0681878,-0.0409738,0,25.367,32.591,-69.003,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344664,1,OK,0.9968832,-0.0680795,-0.0398644,0,25.635,30.842,-69.144,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344672,1,OK,0.9968401,-0.0678559,-0.0412958,0,26.017,29.045,-69.169,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344680,1,OK,0.9968314,-0.0680814,-0.041135,0,26.258,27.175,-69.193,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344688,1,OK,0.9968732,-0.0678555,-0.0404902,0,26.431,25.289,-69.249,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344696,1,OK,0.9966754,-0.0714537,-0.0391466,0,26.451,23.162,-69.291,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344704,1,OK,0.9958103,-0.0791779,-0.0457471,0,26.829,22.612,-69.062,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344712,1,OK,0.9933143,-0.1017215,-0.0545834,0,27.586,21.742,-69.181,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344720,1,OK,0.9948876,-0.0958543,-0.0317905,0,26.495,18.647,-69.168,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344728,1,OK,0.9958848,-0.0789304,-0.0445363,0,27.735,17.152,-69.46,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344736,1,OK,0.9957127,-0.0782551,-0.0493192,0,27.558,15.672,-69.415,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344744,1,OK,0.9957178,-0.076494,-0.0519116,0,27.18,13.95,-69.491,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344752,1,OK,0.9957509,-0.0753742,-0.0529047,0,26.693,12.025,-69.513,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344760,1,OK,0.9956343,-0.0759547,-0.0542514,0,26.239,9.887,-69.557,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344768,1,OK,0.9955561,-0.0755673,-0.056193,0,25.793,7.701,-69.619,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344776,1,OK,0.9955544,-0.0747729,-0.057276,0,25.294,5.457,-69.674,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344784,1,OK,0.9955387,-0.0742981,-0.0581597,0,24.818,3.227,-69.697,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344792,1,OK,0.9954964,-0.0728846,-0.0606203,0,24.414,0.905,-69.904,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344800,1,OK,0.9956745,-0.0721919,-0.0584859,0,23.635,-1.418,-69.825,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344808,1,OK,0.9956971,-0.071584,-0.0588478,0,23.118,-3.73,-69.957,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344816,1,OK,0.9956414,-0.0723362,-0.0588707,0,22.647,-5.901,-70.003,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344824,1,OK,0.9956219,-0.0726099,-0.0588628,0,22.311,-8.044,-70.1,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344832,1,OK,0.9956352,-0.0726422,-0.0585983,0,22.022,-10.272,-70.143,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344840,1,OK,0.9955878,-0.0715912,-0.0606599,0,21.929,-12.308,-70.171,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344848,1,OK,0.9955711,-0.0717095,-0.0607936,0,21.674,-14.401,-70.136,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344856,1,OK,0.9955237,-0.0716973,-0.06158,0,21.355,-16.574,-70.174,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344864,1,OK,0.9955804,-0.071693,-0.0606612,0,20.634,-18.852,-69.937,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344872,1,OK,0.9955635,-0.0691696,-0.0637885,0,20.24,-20.948,-70.237,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344880,1,OK,0.995542,-0.0714646,-0.0615548,0,19.344,-22.866,-70.015,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344888,1,OK,0.995546,-0.0734812,-0.0590656,0,18.552,-24.567,-70.046,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344896,1,OK,0.9956006,-0.0746035,-0.05669,0,17.671,-25.868,-69.91,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344904,1,OK,0.9957919,-0.0737138,-0.054449,0,16.764,-26.761,-69.95,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344912,1,OK,0.9958155,-0.0752829,-0.051808,0,16.052,-27.387,-69.96,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344920,1,OK,0.9960408,-0.0741222,-0.0490773,0,15.475,-27.604,-69.993,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344928,1,OK,0.9959837,-0.0740372,-0.0503485,0,14.654,-27.776,-70.044,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344936,1,OK,0.996133,-0.07163,-0.050875,0,13.054,-27.448,-69.972,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344944,1,OK,0.9960938,-0.070748,-0.0528382,0,11.297,-27.198,-69.945,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344952,1,OK,0.9961067,-0.07124,-0.0519269,0,9.617,-26.931,-69.949,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344960,1,OK,0.9958578,-0.073714,-0.0532304,0,8.073,-26.591,-70.143,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344968,1,OK,0.9958321,-0.0732941,-0.0542808,0,5.967,-25.745,-70.062,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344976,1,OK,0.995839,-0.0714388,-0.0565795,0,3.824,-24.86,-70.046,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344984,1,OK,0.9958168,-0.0706891,-0.0578959,0,2.191,-24.178,-70.124,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,344992,1,OK,0.9955243,-0.0729183,-0.0601194,0,0.949,-23.74,-70.286,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345000,1,OK,0.9955783,-0.0722294,-0.0600566,0,-0.59,-22.897,-70.21,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345008,1,OK,0.9955695,-0.0727191,-0.0596088,0,-2.297,-22.403,-70.174,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345016,1,OK,0.995444,-0.0755643,-0.0581484,0,-3.76,-22.329,-70.25,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345024,1,OK,0.9952287,-0.0796294,-0.0563817,0,-4.635,-22.52,-70.222,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345032,1,OK,0.994956,-0.0832514,-0.0559621,0,-4.949,-22.754,-70.325,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345040,1,OK,0.9948742,-0.0832797,-0.0573578,0,-4.619,-22.814,-70.139,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345048,1,OK,0.9947006,-0.0822626,-0.0616726,0,-3.571,-23.397,-70.15,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345056,1,OK,0.9946264,-0.079681,-0.0660997,0,-1.908,-23.919,-70.072,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345064,1,OK,0.9944084,-0.0783847,-0.0707653,0,0.106,-24.601,-70.117,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345072,1,OK,0.9945933,-0.0772377,-0.0694153,0,2.316,-24.958,-70.028,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345080,1,OK,0.9950049,-0.0748136,-0.0660922,0,4.918,-24.981,-70.025,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345088,1,OK,0.9950257,-0.0752613,-0.0652653,0,7.715,-25.124,-70.034,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345096,1,OK,0.9954392,-0.0729288,-0.061499,0,10.303,-24.782,-69.965,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345104,1,OK,0.9954563,-0.0714159,-0.0629801,0,13.138,-24.446,-70.007,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345112,1,OK,0.99527,-0.0723643,-0.0648156,0,16.246,-24.113,-70.024,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345120,1,OK,0.9953199,-0.0691258,-0.0675273,0,19.406,-23.179,-69.961,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345128,1,OK,0.9954263,-0.0650831,-0.0699338,0,22.576,-22.092,-70.166,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345136,1,OK,0.9954182,-0.0621717,-0.0726445,0,25.593,-20.764,-70.078,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345144,1,OK,0.9952048,-0.0601289,-0.0771484,0,28.67,-19.445,-70.164,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345152,1,OK,0.9952913,-0.056003,-0.0791138,0,31.663,-17.605,-70.13,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345160,1,OK,0.9952657,-0.0545011,-0.0804727,0,34.249,-15.911,-70.028,0,0
1,Port 10: NDI 080051  s/n:3A997400 Channel:0,345168,1,OK,0.9951901,-0.0518287,-0.0831291,0,37.009,-13.891,-69.993,0,0
